date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Leeks,Lettuce,Longan,Lychee,Mushrooms,Okra,Onion,Oranges,Passion Fruit,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Prunes,Pumpkin,Raisins,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon,Cassava
2005-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,17,100,86,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,36,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,24,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,62,0
2008-03-01,29,0,0,0,0,14,83,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,62,0,0,0,0,0,0,0,0,27,0,0
2008-04-01,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,100,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
2009-06-01,100,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2009-10-01,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,50,0,0
2009-12-01,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,20,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,28,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
2010-05-01,27,0,0,0,0,0,0,0,75,0,0,0,100,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,74,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,48,0
2010-07-01,0,0,0,0,0,11,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2010-08-01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,100,0,0,0,0,61,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40,0
2010-11-01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,11,0,0,0,0,5,0,0,32,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,21,0
2011-02-01,0,0,0,0,0,6,0,0,33,0,0,0,0,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,20,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,21,0,76,0,0,0,0,0,0,9,0,0
2011-04-01,0,0,0,0,22,7,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
2011-05-01,9,0,100,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,52,0
2011-06-01,20,79,0,0,22,8,28,0,28,0,0,0,0,0,0,0,96,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,0,0
2011-07-01,18,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,19,87,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,0,0,0,25,0
2011-08-01,13,0,0,0,20,4,0,22,0,0,0,0,0,0,0,33,0,19,0,0,0,0,7,0,0,0,0,28,0,41,0,0,0,0,0,0,0,0,8,0,0,0,0,7,25,0,0,0,10,0,49,0
2011-09-01,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,23,0,7,23,0,0,100,0,8,31,0
2011-10-01,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,23,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,30,0
2011-11-01,9,74,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,100,0,0,0,19,0,0,0,25,0,0,0,8,0,0,0,70,0,0,0,39,0,11,0,17,0
2011-12-01,9,0,0,0,20,10,0,21,25,0,0,0,0,27,0,32,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,24,0,0,0,0,8,0,0
2012-01-01,8,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,8,0,0,0,73,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,22,33,0,0,0,0,0
2012-02-01,8,62,0,0,0,9,21,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,66,0,0,0,47,0,35,0,0,0,0,21,0,0,0,7,31,16,0,0,0,0,21,0,90,0,14,0,0
2012-03-01,11,0,0,0,0,7,0,18,0,0,25,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,15,0,0,0,0,0,6,0,0,0,100,0,0,0,0,0,6,0,0,0,0,0,0,13,0
2012-04-01,19,0,0,0,17,5,43,19,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2012-05-01,7,0,38,0,16,5,0,0,0,0,0,0,0,22,0,0,0,15,0,0,0,0,0,0,0,0,79,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,100
2012-06-01,7,0,0,0,16,7,21,0,0,0,25,0,0,22,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,98,7,44,0,0,0,0,0,20,0,0,0,0,13,0
2012-07-01,14,0,0,0,0,8,0,0,21,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,67,0,0,0,100,0,0,0,0,0,0,0,15,0,55,0,20,20,0,0,0,7,13,0
2012-08-01,21,0,37,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,78,0,0,0,0,0,98,0,20,5,0,0,6,29,0,0,53,0,19,19,0,82,0,7,13,0
2012-09-01,7,0,0,0,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,13,0,0,0,0,5,0,90,0,0,0,0,100,0,18,18,0,0,0,0,0,0
2012-10-01,6,0,0,0,0,4,0,15,0,0,0,0,0,0,0,23,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,8,25,13,0,0,0,0,0,0,0,0,6,11,0
2012-11-01,0,0,0,0,15,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0,0,0,0,100,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,6,0,0,0,0,4,18,16,0,0,22,0,0,0,0,0,0,27,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,49,0,0,0,28,0,8,0,12,0
2013-01-01,12,0,0,66,14,5,35,0,0,0,0,0,0,0,0,45,0,0,0,0,5,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,5,0,5,0,0,0,46,0,17,0,0,0,0,11,11,0
2013-02-01,12,0,0,0,0,4,0,0,18,0,0,100,0,0,0,0,61,13,0,0,5,0,0,0,0,0,0,0,58,28,0,0,0,0,17,0,5,84,6,0,13,0,0,5,0,0,0,74,7,11,17,0
2013-03-01,16,0,0,60,0,6,0,13,16,0,0,0,0,0,0,20,0,11,0,10,0,3,4,0,0,0,0,11,52,0,0,0,0,0,15,0,0,0,0,23,12,0,0,4,0,15,24,0,0,10,0,0
2013-04-01,9,0,0,0,13,7,0,0,17,0,20,0,0,0,0,0,0,12,24,11,0,0,0,49,0,0,0,0,0,26,0,0,0,0,16,4,0,77,0,24,18,0,0,5,32,16,24,0,0,5,21,0
2013-05-01,0,0,0,0,12,3,16,0,0,0,0,0,21,17,0,0,0,11,0,0,4,0,0,0,0,0,0,23,0,0,0,0,0,4,15,0,0,0,5,0,0,15,42,4,0,0,0,0,0,5,15,0
2013-06-01,23,0,0,0,13,8,0,0,0,0,0,92,0,0,0,0,0,0,0,11,4,0,9,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,5,24,0,0,0,0,16,0,0,0,0,5,0,0
2013-07-01,6,0,0,62,0,5,16,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,26,0,0,79,0,16,0,0,0,5,0,12,0,43,0,24,0,24,0,7,10,16,0
2013-08-01,11,0,0,0,12,3,0,13,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,6,0,0,22,0,0,0,0,76,0,15,0,4,0,5,0,11,0,0,4,0,0,0,0,6,7,0,0
2013-09-01,8,0,0,0,0,4,29,0,15,0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,11,0,0,0,0,0,0,0,73,0,14,0,0,0,5,0,0,0,0,0,0,0,22,0,0,5,10,0
2013-10-01,8,0,28,0,0,6,15,25,15,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,4,0,0,5,21,0,0,39,4,0,0,0,0,0,5,10,0
2013-11-01,11,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,6,0,0,12,0,26,0,0,0,0,0,4,0,0,5,0,0,0,0,0,16,0,24,0,0,5,10,0
2013-12-01,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,15,0,0,0,0,23,0,0,43,0,16,16,24,0,0,0,15,0
2014-01-01,8,0,0,56,12,7,15,0,0,100,0,0,0,0,0,19,0,11,0,0,0,3,0,0,6,0,0,11,49,0,0,0,0,4,14,0,0,0,5,0,11,0,0,0,14,0,0,0,0,0,0,0
2014-02-01,5,0,0,0,0,5,16,0,16,0,19,0,0,0,0,20,0,0,0,0,0,3,0,47,12,0,0,11,51,25,0,83,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,10,10,0
2014-03-01,14,0,0,0,21,4,13,0,13,0,0,0,0,0,0,0,0,20,20,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,13,0,0,0,0,19,10,13,0,0,13,0,0,56,5,4,12,0
2014-04-01,10,0,0,0,0,5,14,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,4,0,0,9,0,10,0,0,0,0,0,0,20,7,0,0,4,0,10,13,37,0,13,0,21,0,0,0,13,0
2014-05-01,7,0,0,0,0,11,0,0,0,0,0,78,18,0,0,18,0,0,0,0,0,0,4,0,5,9,54,10,0,0,0,0,0,4,14,0,0,0,4,0,10,0,37,4,14,0,0,0,0,5,21,0
2014-06-01,0,0,0,0,0,6,0,0,15,0,0,0,20,0,0,0,0,11,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,11,0,40,0,14,0,0,0,0,5,14,0
2014-07-01,7,0,0,0,11,2,14,12,0,0,0,0,0,15,0,19,49,10,0,0,0,0,4,0,5,10,0,20,47,0,0,0,70,0,14,0,0,67,5,20,0,0,0,0,14,27,0,0,0,5,21,0
2014-08-01,9,0,24,0,10,5,13,11,0,0,0,0,0,0,0,0,0,9,0,9,0,3,4,40,5,0,0,14,43,0,9,0,0,4,13,3,0,62,4,0,0,12,0,0,0,0,20,0,5,0,13,0
2014-09-01,19,0,25,0,0,4,13,0,13,0,16,0,18,0,0,17,0,0,0,0,0,0,4,0,5,0,0,28,44,21,0,0,0,4,0,0,4,0,4,19,19,0,0,0,13,0,20,54,0,17,0,0
2014-10-01,18,37,0,0,20,9,13,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,39,5,0,0,9,0,0,0,0,0,4,19,0,0,61,4,0,9,0,0,0,13,0,20,0,5,4,8,0
2014-11-01,12,0,0,0,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,0,0,0,0,0,17,0,0,0,0,0,10,13,0,0,13,0,0,0,0,4,9,0
2014-12-01,15,41,0,0,0,4,0,0,14,0,0,0,0,31,0,0,0,0,22,0,4,0,4,0,8,10,0,11,48,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
2015-01-01,11,0,0,100,0,6,0,0,0,0,0,73,17,14,0,17,45,0,0,0,4,0,0,40,5,0,0,9,43,21,0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,20,0,0,4,17,0
